feature,importance
lag_1,1559
hour_sin,1344
hour,1312
geohash_median_demand,979
demand_vs_loc_mean,727
hour_x_loc_rank,717
RoadType,699
geohash_peak_hour,595
rolling_mean_3,589
rolling_std_168,588
geohash_max_demand,583
geohash_min_demand,582
lag_12,573
geohash_std_demand,567
geohash_mean_demand,564
lag_48,551
lag_24,490
rolling_std_12,483
geohash_demand_rank,478
rolling_std_3,469
rolling_std_6,435
rolling_std_24,423
rolling_min_3,411
rolling_min_168,410
lag_3,408
hour_cos,406
lag_6,404
lag_2,403
rolling_mean_168,352
rolling_max_168,348
rolling_mean_6,340
rolling_min_24,321
rolling_mean_24,313
rolling_min_6,312
rolling_max_24,307
rolling_min_12,292
Temperature,279
rolling_max_3,263
rolling_mean_12,259
rolling_max_12,242
rolling_max_6,241
minute,159
day,141
ewm_mean_24,108
NumberofLanes,99
is_peak_hour,33
LargeVehicles,27
Weather,25
Landmarks,21
day_of_month,21
day_of_week,4
is_night,1
day_of_year,1
doy_cos,0
doy_sin,0
month_sin,0
is_weekend,0
month,0
week_of_year,0
year,0
month_cos,0
dow_sin,0
dow_cos,0
quarter,0
lag_168,0
